CustomerID,RecencyDays,Frequency,Monetary,FirstPurchase,LastPurchase,R_Score,F_Score,M_Score,RFM_Score,Segment,AvgMonthlyRevenue
12346,326,12,77556.46,2009-12-14 08:34:00,2011-01-18 10:01:00,2,5,5,255,At Risk (High Value),5816.7345000000005
12347,2,8,5633.32,2010-10-31 14:20:00,2011-12-07 15:52:00,5,4,5,545,Champions,420.3970149253731
12348,75,5,2019.4,2010-09-27 14:59:00,2011-09-25 13:13:00,3,4,4,344,Regular,167.35359116022101
12349,19,4,4428.69,2010-04-29 13:20:00,2011-11-21 09:51:00,5,3,5,535,Loyal,233.08894736842103
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,2,1,2,212,Hibernating,334.4
12351,375,1,300.93,2010-11-29 15:23:00,2010-11-29 15:23:00,2,1,2,212,Hibernating,300.93
12352,36,10,2849.84,2010-11-12 10:20:00,2011-11-03 14:37:00,4,5,4,454,Champions,240.15505617977527
12353,204,2,406.76,2010-10-27 12:44:00,2011-05-19 17:47:00,2,2,2,222,Hibernating,59.81764705882353
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,2,1,3,213,Hibernating,1079.4
12355,214,2,947.61,2010-05-21 11:59:00,2011-05-09 13:49:00,2,2,3,223,Hibernating,80.53342776203965
12356,23,6,6373.68,2010-10-11 09:42:00,2011-11-17 08:40:00,4,4,5,445,Champions,476.83391521197007
12357,33,3,18287.66,2010-11-16 10:05:00,2011-11-06 16:07:00,4,3,5,435,Loyal,1545.436056338028
12358,2,5,3887.07,2009-12-08 07:59:00,2011-12-08 10:26:00,5,4,5,545,Champions,159.74260273972604
12359,58,10,8935.94,2009-12-05 13:32:00,2011-10-13 12:47:00,4,5,5,455,Champions,396.56538461538463
12360,52,8,4252.89,2010-02-22 09:32:00,2011-10-18 15:22:00,4,4,5,445,Champions,211.58656716417912
12361,287,4,511.25,2010-01-26 14:37:00,2011-02-25 13:51:00,2,3,2,232,Regular,38.92766497461929
12362,3,11,5356.23,2009-12-01 10:10:00,2011-12-06 15:40:00,5,5,5,555,Champions,218.6216326530612
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,3,2,2,322,Regular,125.45454545454544
12364,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,5,3,4,534,Loyal,378.77884615384613
12365,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,2,2,3,223,Hibernating,641.38
12366,634,1,500.24,2010-03-16 10:28:00,2010-03-16 10:28:00,1,1,2,112,Hibernating,500.24
12367,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,5,1,1,511,New/Promising,168.9
12368,628,1,917.6999999999999,2010-03-21 15:56:00,2010-03-21 15:56:00,1,1,3,113,Hibernating,917.6999999999999
12369,413,3,1791.15,2010-03-08 08:09:00,2010-10-22 13:13:00,1,3,4,134,At Risk (High Value),235.6776315789474
12370,51,7,4320.31,2010-02-09 09:41:00,2011-10-19 14:51:00,4,4,5,445,Champions,210.06369529983795
12371,45,5,4067.38,2010-03-04 18:23:00,2011-10-26 10:16:00,4,4,5,445,Champions,203.369
12372,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,3,3,4,334,Regular,173.84464285714284
12373,311,3,1127.65,2010-02-04 12:08:00,2011-02-01 13:10:00,2,3,3,233,At Risk (High Value),93.45165745856355
12374,25,4,2989.2200000000003,2010-04-30 14:01:00,2011-11-14 15:37:00,4,3,5,435,Loyal,159.2834813499112
12375,11,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,5,2,2,522,New/Promising,157.75862068965517
12376,390,2,503.15,2010-10-18 08:42:00,2010-11-15 12:15:00,2,2,2,222,Hibernating,503.15
12377,315,4,3426.32,2010-04-29 15:34:00,2011-01-28 15:45:00,2,3,5,235,At Risk (High Value),375.1445255474453
12378,130,2,5416.32,2010-05-26 14:07:00,2011-08-02 10:34:00,3,2,5,325,Regular,376.1333333333333
12379,82,4,1620.22,2010-06-23 12:49:00,2011-09-19 10:09:00,3,3,4,334,Regular,107.53672566371682
12380,22,11,9676.300000000001,2010-02-15 12:05:00,2011-11-18 11:27:00,4,5,5,455,Champions,453.5765625000001
12381,5,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,5,4,4,544,Champions,481.3852173913043
12383,185,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,3,4,4,344,Regular,332.4359281437126
12384,29,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,4,2,2,422,New/Promising,190.84891304347823
12385,379,1,1938.4,2010-11-25 15:14:00,2010-11-25 15:14:00,2,1,4,214,Hibernating,1938.4
12386,338,2,660.8,2010-12-08 09:53:00,2011-01-06 12:37:00,2,2,3,223,Hibernating,660.8
12387,415,1,143.94,2010-10-20 16:27:00,2010-10-20 16:27:00,1,1,1,111,Hibernating,143.94
